"'마약 폭로' 연인 간 다툼이라던 남태현·서민재, 경찰 입건",2022-08-26 10:38
"
			방탄소년단 뷔·블랙핑크 제니, 열애설 재점화…왜?
		",2022.08.24. 오후 3:48
"
			역시 블랙핑크…'핑크 베놈' MV, 29시간 만에 1억뷰 돌파
		",2022.08.20. 오후 8:27
톱스타 맞먹는 몸값…1년에 10억 버는 모델 '출생의 비밀' [긱스],2022-07-01 8:58
K팝 업계에도 '친환경' 바람…폐기물 되는 앨범은 '골칫거리' [연계소문],2022-06-12 13:58
"
			위너 ""컴백 준비하며 행복…신곡 MV에 수위 높은 장면 있다""
		",2022.07.05. 오전 11:26
"
			'K팝 솔로 돌풍' 나연 '빌보드' 7위…로제 '곤' 2억뷰 돌파
		",2022.07.04. 오전 9:19
"
			제철 맞은 위너, 7월 5일 컴백 [공식]
		",2022.06.20. 오전 9:17
"알파에너웍스-부산건축사회'맞손', BIPV설치 확대 기대",2022-06-10 20:39
"블랙핑크, YG엔터테인먼트 효녀 역할 톡톡…52주 최고가 경신",2020-06-29 9:50
"
			YG ""아이콘 김진환·구준회 음주 차량 탑승 중 사고, 엄중한 책임감 느껴"" [공식]
		",2020.07.14. 오전 10:03
"
			YG, 프로듀서 오디션 개최…창립 24년 만 처음 [공식]
		",2020.05.25. 오후 2:22
"
			YG 사과, 송민호 양양 클럽行에 ""각별히 주의하겠다"" [공식]
		",2020.05.12. 오후 5:32
"
			구혜선, MIMI엔터테인먼트와 전속 계약…YG 인연으로 든든한 지원군
		",2020.07.23. 오전 11:28
"YG에 1000억 투자했던 네이버, 이번에는 SM…""팬클럽 서비스 및 콘텐츠 강화""",2020-08-03 14:12
"
			'데뷔' 트레저, YG 보석함 뚫은 12인 'BOY'들의 질주가 시작된다 [종합]
		",2020.08.07. 오후 12:11
YG 이어 SM에 1000억 투자…네이버 '한류 콘텐츠' 키운다,2020-08-03 17:41
"
			트레저, 데뷔 앨범 선주문량 20만 장 돌파…YG 대형 신인 입증
		",2020.08.12. 오후 1:22
"
			[인터뷰+] 트레저 ""빅뱅·위너 응원 받아…YG 색깔에 '소년' 더했죠""
		",2020.08.11. 오전 8:01
"
			'YG 신인' 트레저 방예담 ""블랙핑크 활약에 데뷔도 큰 관심 받아 감사""
		",2020.08.07. 오전 11:36
"
			블랙핑크 리사 정산금에 손 댄 전 매니저…YG ""변제 합의 후 퇴사""
		",2020.06.02. 오후 4:13
"
			'데뷔 D-1' YG 트레저, 타이틀곡 'BOY' 뮤비 티저 공개
		",2020.08.06. 오후 12:34
"
			트레저, 데뷔 싱글 선주문량 15만 장 돌파…YG 신인 최대 초동 기록
		",2020.08.03. 오후 1:31
"
			YG 신인 트레저, D-7 '데뷔 카운트다운 라이브' 예고
		",2020.07.31. 오후 12:59
"
			YG 신인 트레저, 8월 7일 첫 싱글앨범 발매 확정…12人 메인 포스터 공개
		",2020.07.29. 오전 10:15
"
			YG 신인 트레저, 12人 인트로 필름 공개…'빛나는 비주얼+강렬 에너지'
		",2020.07.27. 오전 10:05
"
			YG 신인 트레저, 첫 개인 포스터 공개…글로벌 팬 반응 '후끈'
		",2020.07.26. 오후 12:44
"
			이하이, 핫한 '소울퀸'의 컴백…AOMG 합류 후 ""YG 피해자? NO"" [이슈+]
		",2020.07.24. 오전 9:41
"
			YG 트레저, 31일 브이앱서 첫 '눕방 라이브' 진행
		",2020.08.29. 오후 9:43
"
			YG의 '공들인 탑' 트레저, 8월 7일 데뷔 확정…빅뱅·위너 인기 이을까
		",2020.07.20. 오후 12:25
[연계소문] 'YG is Back'…수치로 보는 '블랙핑크 효과',2020-07-11 8:28
"
			YG 트레저, 데뷔 D-6 각양각색 자기소개 '매력 폭발'
		",2020.08.01. 오후 9:07
"
			블랙핑크, 첫 정규앨범 10월 2일 발매 확정…YG ""글로벌 시장 집중 공략""
		",2020.07.28. 오전 9:57
"
			YG 신인 트레저, 데뷔 첫 온라인 팬사인회 비하인드 공개
		",2020.08.23. 오후 4:21
"
			'데뷔' 트레저 ""YG 선배 위너, 녹음 '꿀팁' 알려주며 조언""
		",2020.08.07. 오전 11:49
"'YG 저격수' 한서희, ""집행유예 기간 중 또 마약 적발""…실형 가능성",2020-07-10 14:58
"
			'YG 신인' 트레저, 발리 수상레저 체험으로 천진 매력 UP
		",2020.05.06. 오후 5:20
"
			탑, 김가빈과 열애? YG ""사생활 확인 불가""
		",2020.05.20. 오후 6:31
[연계소문] 니쥬·트레저·아이랜드·시크릿넘버…K팝 효자된 '뉴페이스',2020-08-15 10:07
이해진·김범수·김택진의 이유 있는 '엔터 사랑',2020-08-26 17:02
"
			양현석, '비아이 마약' 조사 방해 처벌 받나…한서희, 검찰 출석
		",2020.06.23. 오후 1:31
"
			리사 강경대응, 블랙핑크 컴백 무대 살해 예고에 ""선처 없다""
		",2020.05.08. 오후 8:48
[단독] BTS 뺏긴 네이버…SM엔터 지분 인수해 콘텐츠 강화,2020-07-20 16:49
호실적에 한한령 해제 기대감까지…엔터주 급등,2020-08-13 15:53
"
			블랙핑크 솔로 프로젝트 재가동…9월 첫 정규 이후 로제·리사·지수 출격
		",2020.06.01. 오전 9:23
"
			'데뷔 D-3' 트레저, '들어와' 음원 일부 공개..수록곡도 '고퀄'
		",2020.08.04. 오후 1:12
"
			블랙핑크 댄스 커버 콘테스트, 세계 100여국 2200여팀 참여 '역대급'
		",2020.07.28. 오후 4:45
"
			블랙핑크, 'How You Like That' 유튜브 사상 최단 시간 1억뷰 돌파
		",2020.06.28. 오전 8:17
"
			블랙핑크X셀레나고메즈, 'Ice Cream' 오늘(28일) 전 세계 동시 발표
		",2020.08.28. 오전 10:23
"
			블랙핑크 'How You Like That' 티저 공개…26일 NBC 지미 팰런쇼 컴백
		",2020.06.24. 오후 3:20
"
			블랙핑크X셀레나고메즈, 초특급 콜라보 D-2 '셀핑크' 완성
		",2020.08.26. 오후 8:04
"
			6월 블랙핑크→7월 트레저 데뷔 소식까지, 올여름 뜨겁게 달군다
		",2020.05.12. 오후 12:42
"
			블랙핑크 제니, '아이스크림' 개인 포스터 공개…달콤한 매력 뚝뚝
		",2020.08.25. 오전 10:13
"
			""마약·음주동승의 아이콘""…비아이→김진환·구준회 '말썽'
		",2020.07.14. 오후 1:45
"
			블랙핑크, 신곡 뮤직비디오 촬영 완료…'특급 콜라보' 셀레나 고메즈 등장할까
		",2020.08.19. 오전 10:15
"
			블랙핑크X셀레나 고메즈, '특급 콜라보' 공식 발표…역대급 월드클래스 행보
		",2020.08.12. 오전 10:13
제이콘텐트리·미스터블루 '유망'…한국화장품 등 'K뷰티 관련株'도 찜,2020-07-05 15:30
"
			AKMU, 9월 깜짝 컴백…""연말까지 3차례 신곡 발표""
		",2020.08.11. 오후 12:40
"
			악뮤, 오는 9월 컴백…""연말까지 3차례 신곡 발표""
		",2020.08.11. 오후 1:37
"
			블랙핑크, 두 번째 신곡 28일 발매 확정…특급 피처링 예고
		",2020.08.04. 오전 10:16
"아이콘 구준회·김진환, 빗길 교통사고로 경상…운전자 음주",2020-07-14 9:17
"
			블랙핑크, 로제·리사·지수 솔로곡 나온다…9월 정규앨범 발표 후 순차 공개
		",2020.06.01. 오후 2:22
"
			임영웅 '대박이야'→임영웅X김호중 '쉐이프 오프 마이 하트' 음원 오늘(7일) 공개
		",2020.07.07. 오전 8:40
"
			""방예담 드디어 나온다""…6월 5일 솔로곡 발표 [공식]
		",2020.05.27. 오전 11:19
"
			차승원 홈쇼핑 출연, 데뷔 33년만 첫 도전
		",2020.07.07. 오후 2:17
"
			블랙핑크, '하우 유 라이크 댓 안무 영상 공개→댄스 커버 콘테스트 개최
		",2020.07.06. 오전 10:14
"
			블랙핑크, 'Ice Cream' 뮤직비디오 1억뷰 돌파
		",2020.08.30. 오전 8:52
"
			블랙핑크X셀레나 고메즈, 달콤·청량한 '아이스크림' 선물이 온다
		",2020.08.28. 오전 9:22
"
			블랙핑크, 첫 정규앨범 완성…6월 선공개 타이틀곡 발표
		",2020.05.18. 오전 9:52
"
			블랙핑크 리사, 신곡 'Ice Cream' 티저 마지막 주자…기대감 최고조
		",2020.08.26. 오전 10:05
