Date,Rank,Title,Artist,Score,entertain
2018-12-09,53,FAKE LOVE,방탄소년단,5,하이브
2018-12-09,58,봄날,방탄소년단,5,하이브
2018-12-09,65,I'm Fine,방탄소년단,4,하이브
2018-12-09,77,DNA,방탄소년단,3,하이브
2018-12-09,86,Euphoria,방탄소년단,2,하이브
2018-12-09,87,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-09,96,Answer : Love Myself,방탄소년단,1,하이브
2018-12-10,32,IDOL,방탄소년단,7,하이브
2018-12-10,48,FAKE LOVE,방탄소년단,6,하이브
2018-12-10,58,봄날,방탄소년단,5,하이브
2018-12-10,65,I'm Fine,방탄소년단,4,하이브
2018-12-10,72,DNA,방탄소년단,3,하이브
2018-12-10,83,Euphoria,방탄소년단,2,하이브
2018-12-10,85,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-10,93,Answer : Love Myself,방탄소년단,1,하이브
2018-12-11,32,IDOL,방탄소년단,7,하이브
2018-12-11,52,FAKE LOVE,방탄소년단,5,하이브
2018-12-11,59,봄날,방탄소년단,5,하이브
2018-12-11,65,I'm Fine,방탄소년단,4,하이브
2018-12-11,71,DNA,방탄소년단,3,하이브
2018-12-11,84,Euphoria,방탄소년단,2,하이브
2018-12-11,86,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-11,95,Answer : Love Myself,방탄소년단,1,하이브
2018-12-12,34,IDOL,방탄소년단,7,하이브
2018-12-12,52,FAKE LOVE,방탄소년단,5,하이브
2018-12-12,57,봄날,방탄소년단,5,하이브
2018-12-12,65,I'm Fine,방탄소년단,4,하이브
2018-12-12,69,DNA,방탄소년단,4,하이브
2018-12-12,86,Euphoria,방탄소년단,2,하이브
2018-12-12,89,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-12,97,Answer : Love Myself,방탄소년단,1,하이브
2018-12-13,33,IDOL,방탄소년단,7,하이브
2018-12-13,57,FAKE LOVE,방탄소년단,5,하이브
2018-12-13,62,봄날,방탄소년단,4,하이브
2018-12-13,71,I'm Fine,방탄소년단,3,하이브
2018-12-13,76,DNA,방탄소년단,3,하이브
2018-12-13,88,Euphoria,방탄소년단,2,하이브
2018-12-13,89,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2,하이브
2018-12-13,97,Answer : Love Myself,방탄소년단,1,하이브
2018-12-14,32,IDOL,방탄소년단,7,하이브
2018-12-14,54,FAKE LOVE,방탄소년단,5,하이브
2018-12-14,60,봄날,방탄소년단,5,하이브
