Date,Rank,Title,Artist
2022-06-05,49,Seoul,볼빨간사춘기
2022-06-05,50,바라만 본다,MSG워너비(M.O.M)
2022-06-05,51,미친 것처럼,V.O.S
2022-06-05,52,눈이 오잖아(Feat.헤이즈),이무진
2022-06-05,53,Counting Stars (Feat. Beenzino),BE'O (비오)
2022-06-05,54,라일락,아이유
2022-06-05,55,밤하늘의 별을(2020),경서
2022-06-05,56,Darl+ing,세븐틴 (SEVENTEEN)
2022-06-05,57,고백,멜로망스
2022-06-05,58,Savage,aespa
2022-06-05,59,Off My Face,Justin Bieber
2022-06-05,60,문득,BE'O (비오)
2022-06-05,61,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
2022-06-05,62,Celebrity,아이유
2022-06-05,63,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2022-06-05,64,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
2022-06-05,65,롤린 (Rollin'),브레이브걸스
2022-06-05,66,Bad Habits,Ed Sheeran
2022-06-05,67,Celeb,싸이 (PSY)
2022-06-05,68,Step Back,GOT the beat
2022-06-05,69,Blueming,아이유
2022-06-05,70,무지개,임영웅
2022-06-05,71,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2022-06-05,72,헤픈 우연,헤이즈 (Heize)
2022-06-05,73,봄날,방탄소년단
2022-06-05,74,존재만으로,원슈타인
2022-06-05,75,사랑인걸,한동근
2022-06-05,76,아버지,임영웅
2022-06-05,77,My Universe,"Coldplay, 방탄소년단"
2022-06-05,78,Dun Dun Dance,오마이걸 (OH MY GIRL)
2022-06-05,79,팡파레,다비치
2022-06-05,80,With you,"지민, 하성운"
2022-06-05,81,abcdefu,GAYLE
2022-06-05,82,초대,멜로망스
2022-06-05,83,버퍼링 (Glitch Mode),NCT DREAM
2022-06-05,84,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
2022-06-05,85,손이 참 곱던 그대,임영웅
2022-06-05,86,A bientot,임영웅
2022-06-05,87,사랑해 진짜,임영웅
2022-06-05,88,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
