Date,Rank,Title,Artist
2020-01-04,54,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
2020-01-04,55,허전해,폴킴
2020-01-04,56,Paris in the Rain,Lauv
2020-01-04,57,Snowman,Sia
2020-01-04,58,사계 (Four Seasons),태연 (TAEYEON)
2020-01-04,59,헤어지자 (Prod. 정키),휘인 (Whee In)
2020-01-04,60,Flower,윤미래
2020-01-04,61,중2병,"The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-04,62,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",Naomi Scott
2020-01-04,63,LION,(여자)아이들
2020-01-04,64,너에게 못했던 내 마지막 말은,다비치
2020-01-04,65,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB)
2020-01-04,66,주저하는 연인들을 위해,잔나비
2020-01-04,67,샤넬 (Feat. 박봄),MC몽
2020-01-04,68,봄날,방탄소년단
2020-01-04,69,unlucky,아이유
2020-01-04,70,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),염따
2020-01-04,71,All I Want for Christmas Is You,Mariah Carey
2020-01-04,72,나의 어깨에 기대어요,10CM
2020-01-04,73,영화 속에 나오는 주인공처럼,펀치 (Punch)
2020-01-04,74,벗,닐로(Nilo)
2020-01-04,75,헤어져줘서 고마워,벤
2020-01-04,76,노을,다비치
2020-01-04,77,날 보러 와요 (Come See Me),AOA
2020-01-04,78,우리 어떻게 할까요,첸 (CHEN)
2020-01-04,79,우리 왜 헤어져야 해,신예영
2020-01-04,80,이별행동,이우
2020-01-04,81,솔직하게 말해서 나,김나영
2020-01-04,82,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
2020-01-04,83,IDOL,방탄소년단
2020-01-04,84,그때가 좋았어,케이시 (Kassy)
2020-01-04,85,그 사람,아이유
2020-01-04,86,크리스마스니까,"박효신, 성시경, 이석훈, 서인국, VIXX (빅스)"
2020-01-04,87,소우주 (Mikrokosmos),방탄소년단
2020-01-04,88,텅 (Feat.김하온 (HAON)),빈첸
2020-01-04,89,Trouble,EXO
2020-01-04,90,Popo (How deep is our love?),백예린 (Yerin Baek)
2020-01-04,91,사랑의 재개발,유산슬
2020-01-04,92,나비효과 (Butterfly Effect),EXO
2020-01-04,93,춤 (Groove),EXO
2020-01-04,94,0310,백예린 (Yerin Baek)
2020-01-04,95,그때의 우리,펀치 (Punch)
2020-01-04,96,지킬 (Jekyll),EXO
2020-01-04,97,Ya Ya Ya,EXO
2020-01-04,98,ROXANNE,Arizona Zervas
2020-01-04,99,오늘도 (Day After Day),EXO
2020-01-04,100,노래방에서,장범준
2020-01-05,1,METEOR,창모 (CHANGMO)
2020-01-05,2,Psycho,Red Velvet (레드벨벳)
2020-01-05,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-05,4,Blueming,아이유
2020-01-05,5,늦은 밤 너의 집 앞 골목길에서,노을
2020-01-05,6,HIP,마마무 (Mamamoo)
2020-01-05,7,Square (2017),백예린 (Yerin Baek)
2020-01-05,8,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
2020-01-05,9,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2020-01-05,10,Love poem,아이유
2020-01-05,11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2020-01-05,12,나의 오랜 연인에게,다비치
2020-01-05,13,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA"
2020-01-05,14,조금 취했어 (Prod. 2soo),임재현
